"","Date","DOC_conc_gm3","NPPin_gm2y","FlowIn_gm2y","FlowOut_gm2y","respOut_gm2y","leachIn_gm2y","DOC_out_g","DOC_FlowOut_cum_g","DOC_RespOut_cum_g","DOC_in_g","DOC_in_alloch_g","DOC_in_autoch_g"
"1708",1996-01-02,2.59293149640297,3.9470786909384,13.0332305968058,5.72784307022723,23.2884652490004,1.3109959128696,56744.7695294923,31600264.4353441,118492692.08145,33206.9719714845,25488,7718.97197148447
"1709",1996-01-03,2.59041058385487,3.92760375526774,13.2313062482488,4.57781945488636,23.2583231648577,1.2992083196919,54436.8180875981,31609216.8943219,118538176.44056,33556.246467151,25875.36,7680.886467151
"1710",1996-01-04,2.58820627874987,3.90811856116667,10.6033062482488,4.57392396787088,23.2310398776442,1.28566792704851,54375.844364188,31618161.7352212,118583607.444025,28378.7809012624,20736,7642.78090126238
"1711",1996-01-05,2.58538382801302,3.88862290847498,10.6763062482488,4.56893608294865,23.198225245013,1.2728314904651,54301.9171394494,31627096.8217309,118628974.274655,28483.414882382,20878.76,7604.65488238204
"1712",1996-01-06,2.58257982175448,3.86911659396525,10.4995844774447,4.5639807934351,23.1655948015435,1.26063469558279,54228.4138621801,31636022.2175948,118674277.292653,28099.6680130751,20533.16,7566.50801307505
"1713",1996-01-07,2.57973565974539,3.84959941127709,10.2498627066405,4.55895453996809,23.1326229072724,1.24884245661143,54154.1040598363,31644937.7840349,118719515.830273,27573.1398897797,20044.8,7528.3398897797
"1714",1996-01-08,2.57683437280633,3.83007115084967,10.6994191650322,4.55382733431327,23.0991577873742,1.23741815886489,54078.6322735905,31653843.3236273,118764688.922954,28414.1101026753,20923.96,7490.15010267532
"1715",1996-01-09,2.57404054986422,3.81053159985223,10.6878627066405,4.54889004093685,23.0666748543455,1.22615185359819,54005.4526637057,31662739.2077677,118809798.491477,28353.2982355466,20901.36,7451.93823554663
"1716",1996-01-10,2.57124556528401,3.79098054211275,10.7493062482488,4.54395069469301,23.0342000579936,1.21573662470889,53932.2849514183,31671625.4324413,118854844.551755,28435.2238656441,21021.52,7413.70386564407
"1717",1996-01-11,2.56846677363043,3.77141775804461,10.7493062482488,4.53903996487584,23.0018888185034,1.2060945483973,53859.4930563729,31680502.053611,118899827.423642,28396.9665635404,21021.52,7375.44656354039
"1718",1996-01-12,2.56568986639873,3.75184302457102,10.4265844774447,4.53413256524238,22.9696128886258,1.19680146679172,53786.7767259483,31689369.0777892,118944747.176189,27727.565892983,20390.4,7337.165892983
"1719",1996-01-13,2.5628390579599,3.73225611504746,9.80425385261978,4.52909456608705,22.9366939832948,1.18764918524932,53712.5475795856,31698226.2495735,118989602.551985,26472.2214107421,19173.36,7298.86141074214
"1720",1996-01-14,2.55984413729894,3.7126567991818,13.3195239562903,5.65475236157603,22.902504567246,1.17774188359143,55847.0410843648,31709284.7762467,119034391.066396,33308.4126664547,26047.88,7260.53266645471
"1721",1996-01-15,2.55741199582896,3.69304484295208,12.9583283833006,5.64937970723328,22.8733682810946,1.17109252475601,55779.5548330643,31720332.7960687,119079122.601407,32563.6992024636,25341.52,7222.17920246355
"1722",1996-01-16,2.55489689392532,3.67342000852196,16.1722305968058,5.64382379145621,22.8435066457937,1.16496104326779,55710.2916879699,31731369.9506504,119123795.738513,38810.480553652,31626.68,7183.80055365199
"1723",1996-01-17,2.55313949078012,3.65378205415365,26.6587859344354,7.89591830861155,22.8204343389658,1.15907938744401,60069.4041639472,31746811.3382907,119168423.755037,59279.7562472736,52134.36,7145.39624727362
"1724",1996-01-18,2.55331702284583,3.63413073411821,28.4160630428691,10.152600878288,22.8146637684691,1.1584861561918,64471.3246708363,31766665.9314603,119213040.486538,62677.8858027769,55570.92,7106.96580277692
"1725",1996-01-19,2.55337376752163,3.61446579860332,82.7054614738022,25.9461121889735,22.8078156227909,1.1628693245981,95343.9826631162,31817406.5749685,119257643.825693,168808.668731625,161740.16,7068.5087316248
"1726",1996-01-20,2.56247699017011,3.59478699361812,105.556731857663,40.7560924212967,22.8817504424382,1.20437995245605,124451.211605847,31897109.8592707,119302391.752997,213458.504537108,206428.48,7030.02453710853
"1727",1996-01-21,2.57345807168024,3.57509406089527,102.010739983189,40.9307460765801,22.9723982384033,1.28076196044269,124970.039485028,31977154.6991323,119347316.95262,206485.392714156,199493.88,6991.51271415629
"1728",1996-01-22,2.58355663326348,3.55538673779006,89.06777248529,36.5256562562498,23.0551097899461,1.34610775844003,116517.125489794,32048584.8729288,119392403.904314,181135.372749136,174182.4,6952.97274913573
"1729",1996-01-23,2.59163965222016,3.5356647571763,80.7176688147941,33.2049382754278,23.1197851495243,1.39249203508679,110149.555015701,32113520.9960548,119437617.336203,164767.204119651,157852.8,6914.40411965052
"1730",1996-01-24,2.59853157883291,3.51592784733917,83.3402485289997,32.1451971471293,23.1737942101995,1.42600064581495,108182.728851675,32176384.6720099,119482936.3891,169857.366294331,162981.56,6875.80629433069
"1731",1996-01-25,2.60627957736016,3.49617573186463,64.8261681143177,27.6351805273062,23.2353980626999,1.45191743810187,99483.3397193052,32230428.485326,119528375.915503,133612.298732616,126775.12,6837.17873261636
"1732",1996-01-26,2.61072288897343,3.47640812952537,59.7553578033062,24.2220075309608,23.2675074740232,1.46342635203796,92871.2761933086,32277797.4414236,119573878.235599,123657.080884535,116858.56,6798.52088453483
"1733",1996-01-27,2.61476708432458,3.45662475416328,83.583506864668,27.7251761629341,23.2960378762656,1.46475892740051,99777.9248799474,32332017.2516841,119619436.350218,170217.112190471,163457.28,6759.83219047054
"1734",1996-01-28,2.62357762446246,3.43682531456801,62.705506864668,27.8185970182286,23.3669991055993,1.47187172058754,100099.393186817,32386419.757305,119665133.237784,129349.032080928,122627.92,6721.11208092779
"1735",1996-01-29,2.62743916958578,3.41700951435186,65.2802448865228,25.5379136501157,23.393847948582,1.47778255338681,95691.7573401381,32436362.1210405,119710882.631389,134345.479976286,127663.12,6682.35997628591
"1736",1996-01-30,2.63243240257735,3.39717705182047,60.3162448865228,25.5864463638127,23.4307499774401,1.47672760604251,95858.8349270856,32486399.3961487,119756704.191208,124599.015286546,117955.44,6643.57528654644
"1737",1996-01-31,2.63623385607986,3.37732761983942,48.9788478565424,22.1292959767631,23.4570214128078,1.47524472909011,89149.3516511664,32529675.8111301,119802577.127877,102388.597411072,95783.84,6604.75741107228
"1738",1996-02-01,2.63817186793114,3.35746090569646,40.3655637433455,18.648896167459,23.4666980482137,1.46614733403824,82361.9483593073,32566145.8990324,119848468.988334,85505.4657383182,78939.56,6565.90573831817
"1739",1996-02-02,2.63889431254731,3.3375765909591,35.6209932754273,16.3222526557423,23.4655569484279,1.44944238248182,77809.6945081007,32598065.9646369,119894358.617238,76188.0196455524,69661,6527.01964555235
"1740",1996-02-03,2.63904009121162,3.31767435132771,29.7622574950967,13.9912751442617,23.4592879737987,1.42904315113763,73238.9368593739,32625427.5323026,119940235.986432,64691.6584985691,58203.56,6488.0984985691
"1741",1996-02-04,2.63834867076892,3.29775385648346,24.7410479125806,11.6563412274262,23.4455808657285,1.40475820746745,68645.8958632709,32648222.8648181,119986086.549779,54833.1416513915,48384,6449.14165139149
"1742",1996-02-05,2.63701867245528,3.2778147699313,24.1323191370132,10.4854187123977,23.4262072898485,1.37756033900862,66318.133261379,32668728.3220151,120031899.225844,53603.7084459643,47193.56,6410.14844596428
"1743",1996-02-06,2.635814292026,3.25785674883759,21.8693191370132,10.4806298069485,23.4079593473439,1.34964441124583,66273.0820228327,32689224.4139499,120077676.215932,49139.1182118364,42768,6371.11821183636
"1744",1996-02-07,2.63407215536561,3.23787944386213,22.1403947884561,9.30995791444214,23.3849466065592,1.32380390555297,63938.6927317555,32707431.1206877,120123408.201926,49630.1702658323,43298.12,6332.05026583231
"1745",1996-02-08,2.63266354120851,3.21788249898446,23.8076951527038,10.4681016660124,23.3649062851519,1.29755411110876,66164.3865083316,32727902.7123842,120169100.996738,52851.6639117126,46558.72,6292.94391171263
"1746",1996-02-09,2.63136844452014,3.1978655513241,21.5850711683945,10.4629520509594,23.3458835980899,1.27512121517097,66117.1147569627,32748364.2334088,120214756.59047,48465.9184398223,42212.12,6253.79843982231
"1747",1996-02-10,2.62954662381006,3.17782823095451,19.0975077052396,9.29396271543559,23.3221990822334,1.25385849081795,63784.7021676058,32766539.6596725,120260365.866374,43562.0131267269,37347.4,6214.61312672692
