RESV,STATION,COLLECT,ZSP,TEMP,PH,DO,FSPCON,SITE,TempFlag,pHFlag,DOFlag,FSpConFlag,Reviewed
NN,2,19JUL2011,31,5.1,5.41,9.0,28,2NN,,,,,
NN,2,19JUL2011,32,5.1,5.41,9.2,28,2NN,,,,,
NN,2,19JUL2011,33,5.0,5.41,9.2,28,2NN,,,,,
NN,2,19JUL2011,34,5.0,5.42,9.2,28,2NN,,,,,
NN,2,19JUL2011,35,5.0,5.42,9.0,28,2NN,,,,,
NN,2,19JUL2011,36,5.0,5.36,8.9,28,2NN,,,,,
NN,2,19JUL2011,37,5.0,5.41,8.8,28,2NN,,,,,
NN,2,19JUL2011,38,5.1,5.41,8.6,28,2NN,,,,,
NN,2,19JUL2011,39,5.3,5.45,8.5,28,2NN,,,,,
NN,2,19JUL2011,40,5.5,5.45,8.2,28,2NN,,,,,
NN,2,19JUL2011,41,5.6,5.5,7.9,28,2NN,,,,,
NN,2,19JUL2011,42,5.8,5.69,6.2,28,2NN,,,,,
