site_name,usgs_site_id,hu,sampledate,sample_time,time_zone,sampling_method,anc,anc_1,c13_c12_ratio,ca,cl,co2,co3,color,conductance_field,conductance_lab,dic,dkn,do,doc,don,dp,f,fe,h_ion,h20_hardness,h20_hardness_2,hco3,k,mg,mn,n_mixed,n_mixed_1,n_mixed_2,na,nh3_nh4,nh3_nh4_1,nh3_nh4_2,nh3_nh4_3,no2,no2_2,no3,no3_2,no32,no32_2,o18_o16_ratio,o2sat,ph_field,ph_lab,po4,po4_2,s,sar,si,so4,spc,sr,tds,tds_1,tds_2,tkn,toc,ton,tp,tp_2,tpc,tpn
TROUT RIVER,5357245,7050002,4/22/1992,14:42:00,CDT,GRAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TROUT RIVER,5357245,7050002,6/2/1992,18:00:00,CDT,GRAB,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,6/3/1992,13:00:00,CDT,GRAB,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,6/3/1992,8:55:00,CDT,GRAB,,,,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,6/3/1992,13:47:00,CDT,GRAB,,,,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TROUT RIVER,5357245,7050002,8/4/1992,17:40:00,CDT,GRAB,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,8/5/1992,13:30:00,CDT,GRAB,,,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,8/5/1992,11:45:00,CDT,GRAB,,,,,,,,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,8/5/1992,14:05:00,CDT,GRAB,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,9/9/1992,17:00:00,CDT,GRAB,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
