lakeid,sampledate,depth_range_m,rep,chlor
ME,2013/09/30,0-2,2,5.5
ME,2013/09/30,0-8,1,12.7
ME,2013/10/29,0-2,1,10.5
ME,2013/10/29,0-2,2,11
ME,2013/10/29,0-8,1,13.3
ME,2013/12/02,0-2,1,8.1
ME,2013/12/02,0-2,2,9.8
ME,2013/12/02,0-8,1,9.4
ME,2014/02/03,0-2,1,9.5
ME,2014/02/03,0-2,2,17.1
ME,2014/02/03,0-8,1,7.1
ME,2014/04/29,0-2,1,12.6
ME,2014/04/29,0-2,2,13.3
ME,2014/04/29,0-8,1,12.5
ME,2014/05/14,0-2,1,33.7
ME,2014/05/14,0-2,2,34.3
ME,2014/05/14,0-8,1,26.7
ME,2014/05/28,0-2,1,18.9
ME,2014/05/28,0-2,2,18.9
ME,2014/05/28,0-8,1,15.6
ME,2014/06/09,0,1,19.5
ME,2014/06/09,2,1,10.8
ME,2014/06/09,4,1,7.1
ME,2014/06/09,6,1,2.7
ME,2014/06/09,8,1,1.1
ME,2014/06/09,10,1,0.5
ME,2014/06/09,12,1,0.5
ME,2014/06/09,0-2,1,15.5
ME,2014/06/09,0-2,2,9.3
ME,2014/06/09,0-8,1,9.1
ME,2014/06/23,0-2,1,10.7
ME,2014/06/23,0-2,2,12.8
ME,2014/06/23,0-8,1,10.1
ME,2014/07/07,0,1,9.2
ME,2014/07/07,2,1,20.8
ME,2014/07/07,4,1,11.6
ME,2014/07/07,6,1,7.8
ME,2014/07/07,8,1,2.5
ME,2014/07/07,10,1,1.2
ME,2014/07/07,12,1,1
ME,2014/07/07,0-2,1,23.3
ME,2014/07/07,0-2,2,22.6
ME,2014/07/07,0-8,1,12.1
ME,2014/07/21,12,1,1.1
ME,2014/07/21,0-2,1,12.7
ME,2014/07/21,0-2,2,8.3
ME,2014/07/21,0-8,1,10.1
ME,2014/08/04,0,1,12.5
ME,2014/08/04,2,1,13
ME,2014/08/04,4,1,12.5
ME,2014/08/04,6,1,9.4
ME,2014/08/04,8,1,5.5
ME,2014/08/04,10,1,2
ME,2014/08/04,0-2,1,8.5
ME,2014/08/04,0-2,2,10.9
ME,2014/08/04,0-8,1,7
ME,2014/08/20,0-2,1,5.8
ME,2014/08/20,0-8,1,9.4
ME,2014/09/02,0,1,7.5
ME,2014/09/02,2,1,6.1
ME,2014/09/02,4,1,10.5
ME,2014/09/02,6,1,6.4
ME,2014/09/02,8,1,6.3
ME,2014/09/02,0-2,1,7.7
ME,2014/09/02,0-2,2,9.1
ME,2014/09/02,0-8,1,7.6
ME,2014/09/28,0-2,1,4.5
ME,2014/09/28,0-2,2,3.5
ME,2014/09/28,0-8,1,5.5
ME,2014/10/30,0-2,1,7.1
ME,2014/10/30,0-2,2,7.8
ME,2014/10/30,0-8,1,9.5
ME,2015/02/11,0-2,1,10
ME,2015/02/11,0-2,2,6.4
ME,2015/02/11,0-8,1,9.1
ME,2015/04/10,0-2,1,30.2
ME,2015/04/10,0-2,2,19.5
ME,2015/04/10,0-8,1,27.7
ME,2015/04/24,0-2,1,21.9
ME,2015/04/24,0-2,2,9.2
ME,2015/04/24,0-8,1,19.8
ME,2015/05/01,0-2,1,16.4
ME,2015/05/01,0-2,2,27.6
ME,2015/05/01,0-8,1,22
ME,2015/05/13,0-2,1,29.5
ME,2015/05/13,0-2,2,40.5
ME,2015/05/13,0-8,1,31.7
ME,2015/05/27,0-2,1,5.6
ME,2015/05/27,0-2,2,5.4
ME,2015/05/27,0-8,1,4.3
ME,2015/06/08,0,1,9.2
ME,2015/06/08,2,1,10.6
ME,2015/06/08,4,1,7.1
ME,2015/06/08,6,1,1.2
ME,2015/06/08,8,1,0.5
ME,2015/06/08,10,1,0.3
ME,2015/06/08,12,1,0.4
ME,2015/06/08,0-2,1,14.1
ME,2015/06/08,0-2,2,8
ME,2015/06/08,0-8,1,7.2
ME,2015/06/23,0-2,1,10.4
ME,2015/06/23,0-2,2,19.3
ME,2015/06/23,0-8,1,11.9
ME,2015/07/08,0,1,19
ME,2015/07/08,2,1,23.4
ME,2015/07/08,4,1,19.3
ME,2015/07/08,6,1,20.1
ME,2015/07/08,8,1,3.3
ME,2015/07/08,10,1,1.8
ME,2015/07/08,0-2,1,22
ME,2015/07/08,0-2,2,18.4
ME,2015/07/08,0-8,1,18.1
ME,2015/07/20,0-2,1,19.2
ME,2015/07/20,0-2,2,19.1
ME,2015/07/20,0-8,1,18.8
ME,2015/08/03,0,1,18.8
ME,2015/08/03,2,1,17.9
ME,2015/08/03,4,1,18.4
ME,2015/08/03,6,1,15.8
ME,2015/08/03,8,1,15.5
ME,2015/08/03,10,1,3.5
ME,2015/08/03,0-2,1,20.9
ME,2015/08/03,0-2,2,18.4
ME,2015/08/03,0-8,1,14.4
ME,2015/08/18,0-2,1,12.3
ME,2015/08/18,0-2,2,11.7
ME,2015/08/18,0-8,1,9.7
ME,2015/08/31,0,1,11.3
ME,2015/08/31,2,1,18.6
ME,2015/08/31,4,1,15.7
ME,2015/08/31,6,1,13.7
ME,2015/08/31,8,1,13.4
ME,2015/08/31,10,1,11.1
ME,2015/08/31,0-2,1,8.5
ME,2015/08/31,0-2,2,10.7
ME,2015/08/31,0-8,1,13.4
ME,2015/10/07,0-2,1,22.1
ME,2015/10/07,0-2,2,16
ME,2015/10/07,0-8,1,17.2
ME,2015/11/02,0-2,1,14.8
ME,2015/11/02,0-2,2,16.9
ME,2015/11/02,0-8,1,12.2
