lakeid,sampledate,depth,rep,sta,event,dic,tic,doc,toc,totpf,totpuf,totpuf_sloh,drp_sloh
"ME",2003-06-23,14.50,1,1,,,,,,,,,
"ME",2003-06-23,15.00,1,1,,,,,,,,,
"ME",2003-06-23,15.50,1,1,,,,,,,,,
"ME",2003-06-23,16.00,1,1,,,,,,,,,
"ME",2003-06-23,16.50,1,1,,,,,,,,,
"ME",2003-06-23,17.00,1,1,,,,,,,,,
"ME",2003-06-23,17.50,1,1,,,,,,,,,
"ME",2003-06-23,18.00,1,1,,,,,,,,,
"ME",2003-06-23,18.50,1,1,,,,,,,,,
"ME",2003-06-23,19.00,1,1,,,,,,,,,
"ME",2003-06-23,19.50,1,1,,,,,,,,,
"ME",2003-06-23,20.00,1,1,,,,,,,,,
"ME",2003-06-23,20.50,1,1,,,,,,,,,
"ME",2003-06-23,21.00,1,1,,,,,,,,,
"ME",2003-06-23,21.50,1,1,,,,,,,,,
"ME",2003-06-23,22.00,1,1,,,,,,,,,
"ME",2003-06-23,22.50,1,1,,,,,,,,,
"ME",2003-06-23,23.00,1,1,,,,,,,,,
"ME",2003-06-23,23.50,1,1,,,,,,,,,
"ME",2003-06-23,24.00,1,1,,,,,,,,,
"ME",2003-06-23,24.20,1,1,,,,,,,,,
"ME",2003-07-07,0.00,1,1,,,,,,,,0.021,0.000
"ME",2003-07-07,1.00,1,1,,,,,,,,,
"ME",2003-07-07,2.00,1,1,,,,,,,,,
"ME",2003-07-07,3.00,1,1,,,,,,,,,
"ME",2003-07-07,4.00,1,1,,,41.90,,5.99,,,0.023,0.000
"ME",2003-07-07,5.00,1,1,,,,,,,,,
"ME",2003-07-07,6.00,1,1,,,,,,,,,
"ME",2003-07-07,7.00,1,1,,,,,,,,,
"ME",2003-07-07,7.50,1,1,,,,,,,,,
"ME",2003-07-07,8.00,1,1,,43.66,,5.78,,,,0.027,0.004
"ME",2003-07-07,8.50,1,1,,,,,,,,,
"ME",2003-07-07,9.00,1,1,,,,,,,,,
"ME",2003-07-07,9.50,1,1,,,,,,,,,
"ME",2003-07-07,10.00,1,1,,,48.59,,5.67,,,0.058,0.040
"ME",2003-07-07,10.50,1,1,,,,,,,,,
"ME",2003-07-07,11.00,1,1,,,,,,,,,
"ME",2003-07-07,11.50,1,1,,,,,,,,,
"ME",2003-07-07,12.00,1,1,,,,,,,,0.134,0.111
"ME",2003-07-07,12.50,1,1,,,,,,,,,
"ME",2003-07-07,13.00,1,1,,,,,,,,,
"ME",2003-07-07,13.50,1,1,,,,,,,,,
"ME",2003-07-07,14.00,1,1,,,,,,,,0.175,0.151
"ME",2003-07-07,14.50,1,1,,,,,,,,,
"ME",2003-07-07,15.00,1,1,,,,,,,,,
"ME",2003-07-07,15.50,1,1,,,,,,,,,
"ME",2003-07-07,16.00,1,1,,,,,,,,0.230,0.207
"ME",2003-07-07,17.00,1,1,,,,,,,,,
"ME",2003-07-07,18.00,1,1,,50.25,,5.96,,,,0.246,0.215
"ME",2003-07-07,19.00,1,1,,,,,,,,,
"ME",2003-07-07,20.00,1,1,,,,,,,,0.284,0.240
"ME",2003-07-07,21.00,1,1,,,,,,,,,
"ME",2003-07-07,22.00,1,1,,,,,,,,0.312,0.273
"ME",2003-07-07,23.00,1,1,,,,,,,,,
"ME",2003-07-07,24.00,1,1,,,,,,,,,
"ME",2003-07-07,24.10,1,1,,,,,,,,,
"ME",2003-07-07,18.00,2,1,,28.71,,4.48,,,,,
"ME",2003-07-24,0.00,1,1,,,,,,,,0.024,0.003
"ME",2003-07-24,1.00,1,1,,,,,,,,,
"ME",2003-07-24,2.00,1,1,,,,,,,,,
"ME",2003-07-24,3.00,1,1,,,,,,,,,
"ME",2003-07-24,4.00,1,1,,,,,,,,0.023,0.004
