lakeid,year4,daynum,sampledate,depth,rep,sta,event,ph,phair,alk,dic,tic,doc,toc,no3no2,no2,nh4,totnf,totnuf,totpf,totpuf,drsif,brsif,brsiuf,tpm,no3no2_sloh,nh4_sloh,kjdl_n_sloh,totpuf_sloh,drp_sloh,drsif_sloh,flagdepth,flagph,flagphair,flagalk,flagdic,flagtic,flagdoc,flagtoc,flagno3no2,flagno2,flagnh4,flagtotnf,flagtotnuf,flagtotpf,flagtotpuf,flagdrsif,flagbrsif,flagbrsiuf,flagtpm,flagno3no2_sloh,flagnh4_sloh,flagkjdl_n_sloh,flagtotpuf_sloh,flagdrp_sloh,flagdrsif_sloh
"MO",1995,157,1995-06-06,1.00,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MO",1995,157,1995-06-06,2.00,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MO",1995,157,1995-06-06,3.00,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MO",1995,157,1995-06-06,4.00,1,1,,8.31,,,,,,,,,,,,,,,,,,0.295,0.107,1.00,0.095,0.036,0.600,,,,,,,,,,,,,,,,,,,,,,"R",,,
"MO",1995,157,1995-06-06,5.00,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MO",1995,157,1995-06-06,6.00,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MO",1995,157,1995-06-06,7.00,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MO",1995,157,1995-06-06,8.00,1,1,,8.14,,,,,,,,,,,,,,,,,,,,,0.099,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,
"MO",1995,157,1995-06-06,9.00,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MO",1995,157,1995-06-06,10.00,1,1,,,,,,,,,,,,,,,,,,,,,,,0.127,0.088,,,,,,,,,,,,,,,,,,,,,,,,,,
"MO",1995,157,1995-06-06,11.00,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MO",1995,157,1995-06-06,12.00,1,1,,7.98,,,,,,,,,,,,,,,,,,,,,0.181,0.133,,,,,,,,,,,,,,,,,,,,,,,,,,
"MO",1995,157,1995-06-06,13.00,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MO",1995,157,1995-06-06,14.00,1,1,,,,,,,,,,,,,,,,,,,,,,,0.239,0.177,,,,,,,,,,,,,,,,,,,,,,,,,,
"MO",1995,157,1995-06-06,15.00,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MO",1995,157,1995-06-06,16.00,1,1,,7.98,,,,,,,,,,,,,,,,,,,,,0.272,0.230,,,,,,,,,,,,,,,,,,,,,,,,,,
"MO",1995,157,1995-06-06,17.00,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
