datetime,Rain
10/3/14,16.3
10/4/14,1.8
10/5/14,0
10/6/14,0
10/7/14,0
10/8/14,0
10/9/14,0
10/10/14,0
10/11/14,0
10/12/14,0.5
10/13/14,35.6
10/14/14,16
10/15/14,0.8
10/16/14,0
10/17/14,0
10/18/14,0
10/19/14,0
10/20/14,0
10/21/14,0
10/22/14,0
10/23/14,2.5
10/24/14,0
10/25/14,0
10/26/14,0.3
10/27/14,2.3
10/28/14,0
10/29/14,0
10/30/14,0
10/31/14,0.3
11/1/14,0
11/2/14,0
11/3/14,4.1
11/4/14,0.3
11/5/14,1
11/6/14,0.3
11/7/14,0.5
11/8/14,0.5
11/9/14,0.5
11/10/14,0
11/11/14,0.8
11/12/14,0
11/13/14,0
11/14/14,0
11/15/14,2.5
11/16/14,0.3
11/17/14,0
11/18/14,0
11/19/14,0.3
11/20/14,0
11/21/14,0
11/22/14,0.3
11/23/14,17.8
11/24/14,9.7
11/25/14,0
11/26/14,0
11/27/14,0
11/28/14,0.5
11/29/14,0
11/30/14,0
12/1/14,0
12/2/14,0
12/3/14,0
12/4/14,0
12/5/14,0
12/6/14,0
12/7/14,0
12/8/14,5.8
12/9/14,0
12/10/14,0
12/11/14,0
12/12/14,0
12/13/14,0
12/14/14,0
12/15/14,4.3
12/16/14,2.5
12/17/14,0
12/18/14,0
12/19/14,0
12/20/14,0
12/21/14,0
12/22/14,3.8
12/23/14,8.1
12/24/14,0
12/25/14,0
12/26/14,0
12/27/14,1.5
12/28/14,0
12/29/14,0
12/30/14,0
12/31/14,0
